edad,ingreso_mensual,antiguedad_anios,ciudad,churn
45.0,3433.3691183035044,8.0,Medellin,1
68.0,3239.9473006519675,11.0,Barranquilla,1
63.0,,1.0,Medellin,0
56.0,3234.6812873931963,11.0,Medellin,0
52.0,,8.0,Barranquilla,1
20.0,1837.855033455104,4.0,Cali,1
58.0,3050.0106342077106,3.0,Bogota,1
43.0,2325.4621780555476,0.0,Cali,0
22.0,1720.8668098300038,2.0,,1
31.0,3655.112964253949,4.0,Bogota,0
47.0,3144.7412344200416,13.0,Barranquilla,1
57.0,3565.8756829695326,7.0,Cali,1
45.0,2309.634552716657,2.0,Cali,1
51.0,2607.747087347008,11.0,Medellin,1
65.0,2300.861275501851,6.0,Bogota,1
55.0,2402.022319647757,12.0,Bogota,0
37.0,3375.867125974462,11.0,Cali,0
52.0,2495.3228452985486,13.0,Barranquilla,0
50.0,3520.459659938247,10.0,Cali,0
23.0,3505.780332876395,1.0,Medellin,1
21.0,5022.644888192092,8.0,Barranquilla,0
53.0,1946.4898587198713,6.0,Barranquilla,1
38.0,3999.112140051541,12.0,Bogota,1
50.0,3119.4608343004234,2.0,Bogota,0
35.0,3187.3732428821027,6.0,Barranquilla,0
30.0,,12.0,Bogota,1
26.0,2785.825568547811,9.0,,1
38.0,3868.8775370995586,0.0,Bogota,1
62.0,3125.7694651844254,12.0,Bogota,1
39.0,3272.948933370139,5.0,Medellin,0
38.0,2938.354987459513,10.0,Medellin,1
49.0,4239.112772287658,9.0,Medellin,0
70.0,3180.6746896608547,9.0,Bogota,0
39.0,1219.6258947661443,6.0,Barranquilla,1
49.0,2577.1347045729585,6.0,Barranquilla,1
41.0,1428.0830536277813,1.0,Cali,1
50.0,273.7054260531154,8.0,Barranquilla,1
42.0,2722.896185204919,4.0,Barranquilla,0
52.0,4400.203865092451,5.0,Barranquilla,0
47.0,,2.0,Medellin,0
54.0,2144.708863335519,11.0,Cali,1
69.0,2353.37011861782,13.0,Barranquilla,1
26.0,4217.551907225008,5.0,Cali,0
48.0,,6.0,,0
41.0,3243.199317405851,6.0,,1
37.0,3151.8843900457487,1.0,Medellin,1
30.0,3234.560235399812,11.0,Cali,1
20.0,3924.8650822494183,13.0,Bogota,0
39.0,3697.3105676204677,7.0,Barranquilla,0
62.0,3394.134230022045,0.0,Barranquilla,0
23.0,2261.4184781689905,5.0,Cali,1
39.0,3659.9978884187544,2.0,Barranquilla,0
70.0,2584.1776298067552,12.0,Medellin,1
69.0,4184.461108310431,12.0,Medellin,0
29.0,2056.0542604482853,5.0,Cali,1
18.0,3076.1411213519705,5.0,Medellin,1
54.0,3193.377542337856,12.0,Bogota,1
18.0,2007.819004420277,1.0,Medellin,1
34.0,4749.774479470831,11.0,Cali,1
44.0,4514.366090533596,14.0,Medellin,1
65.0,2782.774614551825,6.0,Cali,0
23.0,3894.549049008071,11.0,Cali,0
53.0,3540.808462703191,10.0,Medellin,0
46.0,847.7964829892676,13.0,Cali,1
25.0,3425.3582146498316,0.0,Barranquilla,1
63.0,3144.790328150076,10.0,Barranquilla,1
63.0,3274.8956181270773,5.0,Barranquilla,1
44.0,2230.81257215554,12.0,Bogota,1
69.0,2957.5876584016355,12.0,Medellin,0
50.0,,4.0,Cali,1
66.0,4269.284795491087,8.0,Bogota,1
69.0,3500.9843543519128,7.0,Medellin,0
48.0,3195.0004728176027,8.0,Bogota,1
33.0,4576.072998119846,12.0,Cali,0
25.0,2700.2768632127177,9.0,Bogota,1
48.0,50000.0,11.0,Medellin,0
28.0,1564.9204897948462,10.0,Medellin,1
58.0,4612.195261655251,3.0,Barranquilla,0
68.0,4067.8991313749857,8.0,Medellin,0
31.0,4025.1632400605367,5.0,Cali,0
47.0,3802.008601802244,6.0,,0
20.0,3299.133728897287,1.0,Bogota,1
27.0,3393.940045264096,2.0,Medellin,0
38.0,2973.194068759423,5.0,Medellin,1
65.0,3016.7596168493483,4.0,Barranquilla,0
70.0,3248.873250542325,9.0,,1
52.0,4560.646560407399,4.0,Cali,0
49.0,3700.1191116272707,3.0,Medellin,0
48.0,3147.3858868170246,6.0,Barranquilla,1
21.0,2678.5471546009435,8.0,Bogota,1
38.0,2628.5013613295064,14.0,Medellin,1
71.0,4642.434510055241,7.0,Medellin,0
40.0,3656.0185738043933,5.0,Bogota,1
29.0,,4.0,Bogota,0
30.0,2888.4363420625496,6.0,Barranquilla,1
56.0,,13.0,Barranquilla,1
20.0,3139.8245982770936,5.0,Bogota,1
70.0,3986.2922310231806,3.0,Bogota,0
65.0,2846.716477846259,8.0,Bogota,0
48.0,2995.4816752994957,11.0,Bogota,0
43.0,3001.0690837049196,14.0,Barranquilla,1
59.0,3298.6349311983518,4.0,Bogota,0
47.0,1766.290209128952,13.0,Cali,1
43.0,2988.141483231418,12.0,Barranquilla,0
35.0,50000.0,5.0,Bogota,1
42.0,3996.1265293063448,5.0,Bogota,0
58.0,2506.461191091626,4.0,Medellin,0
20.0,3719.342072570626,4.0,Barranquilla,1
19.0,4571.993707454084,13.0,Barranquilla,1
56.0,2917.763364846537,4.0,Barranquilla,1
38.0,2658.5813730888804,7.0,Medellin,1
61.0,3372.2890332134834,14.0,Cali,1
19.0,3198.173875151874,10.0,Cali,1
66.0,2305.74528739426,1.0,Medellin,0
24.0,3614.8274741420414,1.0,Bogota,0
40.0,5013.964448127867,3.0,Medellin,1
70.0,2967.699204260848,12.0,Barranquilla,1
23.0,3017.4114235418033,3.0,Cali,0
53.0,2259.561178787823,4.0,Bogota,0
57.0,3487.179606517893,8.0,Barranquilla,0
41.0,,7.0,Cali,1
22.0,2203.7620780836646,1.0,Medellin,1
46.0,4351.70054465941,2.0,Bogota,0
41.0,2385.0922465448202,14.0,Cali,1
65.0,4173.221812398205,6.0,Cali,0
54.0,4571.922203404526,4.0,Bogota,0
36.0,3433.3938117290686,12.0,Barranquilla,1
21.0,3698.0522625657413,6.0,Cali,0
49.0,4957.025849318101,12.0,Bogota,0
33.0,3022.944438140855,2.0,Bogota,0
54.0,2666.294782752546,7.0,Medellin,1
64.0,1982.0920416953525,12.0,Cali,1
37.0,3237.5363723117116,11.0,Barranquilla,0
66.0,4531.229789826476,10.0,Barranquilla,0
46.0,4063.6358432607785,6.0,Cali,0
46.0,,12.0,Barranquilla,1
59.0,2430.1621545506637,5.0,Medellin,0
60.0,2746.2458935931327,9.0,Cali,0
67.0,3463.0412742458075,8.0,Cali,0
71.0,,4.0,Medellin,1
26.0,3393.008550898773,3.0,Medellin,1
40.0,3467.0654402409027,7.0,Cali,0
68.0,,4.0,Barranquilla,0
34.0,3163.8434525573507,7.0,Barranquilla,0
18.0,50000.0,10.0,Medellin,1
49.0,3124.4272668201415,12.0,Cali,0
58.0,3653.1687784946457,11.0,Barranquilla,1
58.0,4883.788195995205,7.0,Barranquilla,0
61.0,,0.0,Cali,0
52.0,3250.229491767697,2.0,Bogota,0
25.0,1682.4932389742767,10.0,Cali,1
63.0,3549.1613774136817,8.0,Bogota,0
40.0,1447.9894294095134,12.0,,0
63.0,1931.8693224594904,7.0,Medellin,1
62.0,3969.1753272218884,6.0,Cali,0
70.0,3835.611554122998,3.0,Bogota,0
18.0,3065.0549014860035,0.0,Cali,0
64.0,1660.990004463006,2.0,Bogota,1
51.0,2865.7863347982347,10.0,Medellin,1
44.0,2589.135513605578,8.0,Bogota,1
60.0,3773.1566715171894,3.0,Bogota,0
69.0,5231.957479184778,5.0,,0
45.0,3395.23743915919,9.0,Barranquilla,1
22.0,2498.619984771095,5.0,Cali,1
57.0,50000.0,5.0,Cali,0
30.0,3149.515147308555,4.0,Bogota,1
30.0,3040.886125837771,9.0,Bogota,1
28.0,2163.6327564252756,13.0,Barranquilla,1
28.0,3304.7197121229656,3.0,Cali,1
67.0,,4.0,Medellin,0
37.0,4200.896544556371,7.0,Medellin,1
23.0,4156.385545209339,2.0,Barranquilla,0
27.0,4176.276138766779,7.0,Medellin,0
39.0,2773.3545764523246,13.0,Bogota,0
36.0,3663.0685069862798,9.0,Barranquilla,1
69.0,3881.0646523978407,1.0,Bogota,0
51.0,2439.0526704086083,11.0,Bogota,1
54.0,,11.0,Bogota,0
66.0,3317.85608682632,2.0,Barranquilla,0
49.0,1816.8485537376603,5.0,Medellin,0
59.0,4324.233874602609,13.0,Medellin,0
