ventas_trimestre,cuota_mercado,inversion_marketing,antiguedad_meses,region,segmento_alto_valor
101840.60893585511,0.20697817314111489,4219.933187566809,1.0,,1
107842.86840555698,0.17224701589223862,24624.95369411164,10.0,LATAM,1
64181.05454241594,0.25430190943527786,10359.38615569737,49.0,Europa,0
100444.55029305386,0.21893605007485678,16918.171344806986,12.0,Asia,0
72590.26797210946,0.21747271843661672,9811.177420168136,29.0,LATAM,1
83748.07497645647,0.1940536322991679,4191.330498983872,10.0,Asia,0
69112.6484520027,0.15035056537714542,8911.197645695222,46.0,Europa,0
94343.28851392838,0.2640780247526337,7910.800389982256,31.0,Norteamerica,0
73433.97195336617,0.2164485807973653,4628.449048294938,41.0,LATAM,1
900000.0,0.027264107943970828,12649.372893981727,40.0,LATAM,0
82566.09756980704,0.1616339387841833,21687.85775722023,27.0,Asia,1
112591.34860865059,0.2065119578706578,13167.128567119964,3.0,LATAM,0
135579.0780700369,0.13668437218798787,18258.210806293177,59.0,Asia,1
82752.6852772693,0.12396974675001439,19800.785585783477,14.0,Europa,0
63091.99944359342,0.14388200850356112,455.60482563439837,41.0,Asia,0
78197.95081491275,0.2122172403347366,23458.231122327437,57.0,Norteamerica,1
69093.11606647527,0.12170500819315336,4164.71251510723,33.0,Norteamerica,0
35323.90922431886,0.21328975905924363,23075.038401349993,44.0,LATAM,1
85843.54822900509,0.28214519275921973,13368.061932052382,27.0,LATAM,1
70372.0181763739,0.25371039871294376,15701.520350573968,32.0,Europa,1
112144.67148942631,0.25629794719354315,25349.196347499987,47.0,Asia,1
81235.52971185402,0.17320775680526035,18417.457121477546,43.0,LATAM,0
112898.00987203895,0.2702213076569746,2487.187269470738,30.0,Asia,0
108115.64392332638,0.1894710613547221,1315.3053016195681,3.0,Europa,0
70146.780527112,0.2493440084668722,4923.51673429466,58.0,Norteamerica,1
75205.8364150677,0.10945143483830472,18146.082612564587,2.0,,0
69303.76324850829,0.2747960097283734,14008.413307083647,18.0,Europa,1
71438.83021937929,0.14755035096494243,17503.741232575536,22.0,,0
109659.80767796026,0.19007877428662318,14663.961982958783,6.0,Asia,1
69449.89076822111,0.2611169408138425,19364.594167552605,28.0,Norteamerica,1
72407.26319809553,0.18780119010609594,5848.78883694255,7.0,Europa,0
60833.247148566414,0.15495882133429173,1022.1736803131244,56.0,Asia,0
126941.79587352986,0.1762801327510638,7994.901047228172,43.0,Norteamerica,0
74116.32847441819,0.26342319844329687,16881.437702872012,3.0,LATAM,1
80246.73010394782,0.2643990287319335,5939.309042866305,10.0,Norteamerica,1
58889.15197838621,0.23339245377005305,0.0,45.0,LATAM,1
91703.54661858341,0.14339585294251786,8730.975873384039,40.0,Europa,0
61218.32416043752,0.15874434844640511,16100.680162595403,33.0,Norteamerica,1
64620.90267343131,0.2324242935681367,14486.43406432632,50.0,Norteamerica,0
23514.273951513707,0.2384315983503377,9933.575120314004,40.0,Asia,1
35259.78212132522,0.13697186050793436,8907.977391225288,49.0,Europa,1
90114.61831649553,0.13776119748485047,0.0,19.0,Europa,1
107198.4494990991,0.2346148856688368,11723.597376582957,26.0,Asia,0
34508.68872936618,0.26195574760251916,23189.862938327176,50.0,Norteamerica,1
89272.1624658883,0.1918885686699396,8824.31921784046,56.0,Asia,1
89956.04474546491,0.10347084334811785,21558.206670005115,50.0,Norteamerica,1
175656.1705160502,0.29642126093037685,4310.613995132517,25.0,Asia,1
54577.092971342456,0.1885820485788143,9211.683220483757,22.0,LATAM,0
64234.29608669858,0.21807108227986405,8753.620430760255,9.0,Norteamerica,0
52799.6932398188,0.036192448964118384,11446.417786539765,35.0,Europa,0
108984.815318216,0.13500040728135737,751.5041227785041,48.0,Europa,0
115626.45862949468,0.1716783251977025,18592.29845353623,15.0,Asia,1
76187.8574151439,0.20611071455631982,9456.557576058814,33.0,LATAM,1
129773.64530992937,0.12238777696508116,0.0,3.0,LATAM,0
147357.98336060904,0.07686334809393396,15157.612468065121,17.0,Europa,1
70365.32373775146,0.06881809964264457,12120.972129690665,21.0,Europa,0
100882.45264502909,0.1558976891638614,3615.99423309496,42.0,Norteamerica,0
78578.56995266656,0.2023760355281053,10569.96133303342,1.0,LATAM,0
65380.65580784509,0.19918402528260257,16157.266669971561,18.0,Europa,1
70530.11280026931,0.061698559618645885,15515.591733504922,16.0,Asia,0
77373.45593622854,0.13191212943445652,13445.605705210353,40.0,LATAM,0
45953.311738120254,0.17393232733685945,7458.670085910736,54.0,Asia,0
81968.78031331443,0.24936728401566732,13229.949471045202,4.0,LATAM,1
108524.11899455087,0.21881552915484082,19293.308661953404,14.0,Europa,1
56347.85401006756,0.19801879760525418,24709.814560873263,16.0,Norteamerica,1
68961.49443269511,0.06359286698239469,15515.821972283433,45.0,Europa,0
57377.620658421336,0.2550853761072366,16699.762897053377,29.0,Norteamerica,1
96050.82691535231,0.1735146700866921,,19.0,LATAM,1
900000.0,0.19454038141565497,10369.900345925857,2.0,Norteamerica,0
112597.89890541289,0.13304936726084549,1417.76453622163,50.0,Norteamerica,0
75279.94022378077,0.1653521289525031,8467.260045210156,5.0,,0
40677.68812416395,0.15591275072629066,,57.0,Asia,0
101667.9379076687,0.1511584696148404,,40.0,Norteamerica,1
75796.74176078825,0.11810398773153145,11415.688887221359,5.0,Norteamerica,0
119033.67247388067,0.22595449179247995,6777.979417843844,33.0,,1
106281.58210436036,0.24176714760846318,7636.853730998744,50.0,Asia,0
5953.517606343827,0.14203119023895983,,36.0,LATAM,0
25565.902195230527,0.12173551366114913,5213.855252163627,50.0,LATAM,0
85668.415345819,0.12246196652828503,5277.693849927863,30.0,Asia,0
62172.29789548533,0.15819091585882142,0.0,15.0,Europa,0
17480.724523415716,0.27747794937104997,7750.3190635595965,42.0,LATAM,1
68680.1465356787,0.16978592499439882,10364.996738079273,9.0,LATAM,0
123401.1483261802,0.3053342113806295,5674.185489682727,50.0,Asia,1
103773.55094196764,0.09186718447118493,7860.474147555761,58.0,,0
58139.27010851692,0.10387608086136116,9891.778921717541,43.0,Asia,0
93301.41411458739,0.12497822829075883,2725.9478050964753,23.0,Asia,0
115136.18441201365,0.11969425411375473,5347.017093166202,20.0,Asia,1
79185.90519553602,0.20166220932959036,3709.3715806972923,36.0,Asia,0
137912.2514691603,0.2993083984766804,,36.0,Asia,1
63473.70311664003,0.12851513705650802,2475.7807071404204,22.0,Norteamerica,0
147881.01978741743,0.2029342015590056,9364.90225540104,1.0,Europa,0
130768.56419250497,0.2709815774105768,0.0,2.0,LATAM,0
100350.96316743438,0.3452299547750539,19704.096074905316,50.0,Norteamerica,1
91539.93635618748,0.19409517580338403,12634.086812769576,51.0,LATAM,1
85774.5933921291,0.24771450117588983,4609.269557150578,5.0,Asia,1
56769.268328856546,0.271391199953233,9216.297396487775,34.0,Asia,1
114217.2432841851,0.1867596247080886,,57.0,Asia,1
122996.25450196202,0.21937281160743133,10397.607905515217,5.0,Norteamerica,1
108353.86126505902,0.15599427143476538,1041.2469680332542,43.0,Europa,1
93276.76551982084,0.11921249517351601,9820.612028000975,42.0,LATAM,0
88027.41552708819,0.13950825157432656,7227.61927812207,11.0,Asia,0
56893.47734935452,0.26017300537514776,13341.60330635262,40.0,Norteamerica,0
65175.063102334934,0.27313538295520257,11448.928034520828,59.0,LATAM,1
41483.61863470527,0.19796443289096943,958.0816589045189,3.0,LATAM,0
99343.49725412742,0.09648727311502145,12152.559784036612,37.0,Norteamerica,1
57775.30972705453,0.2659695413227672,16670.109839726676,57.0,LATAM,1
109987.53729802466,0.18100823969059707,19397.447545403495,39.0,Europa,1
64972.777758138036,0.2845572608307815,13174.3136541013,34.0,Norteamerica,0
127475.35959270582,0.1882775237023416,22370.653016770983,2.0,Europa,1
131896.4559943899,0.10186778059919965,,53.0,LATAM,1
130827.5958127154,0.16185823782143527,16004.406636525327,34.0,LATAM,1
119151.59532552406,0.13548800288433147,20713.493236061222,58.0,Europa,1
75708.16262184417,0.29128885469830396,0.0,47.0,LATAM,0
75429.8668015649,0.024792622253674373,,9.0,LATAM,1
62736.72070762506,0.14084655480462707,20241.332013838237,17.0,Asia,0
94714.82659017225,0.16006696946761326,10966.312108817185,25.0,Asia,1
135132.5262381794,0.040728233182664914,16514.369893391875,31.0,Asia,0
52146.728840584525,0.21120407699479435,7675.841686284831,53.0,Europa,0
157529.46281853144,0.22430178113268606,,58.0,,1
67791.73769613387,0.24046857854770257,10534.503388357663,31.0,Asia,1
49781.48074471608,0.2393919994987836,5309.710525854306,4.0,Norteamerica,1
95011.92283762507,0.17517808827659145,10268.185327347774,3.0,Asia,0
117123.61367036859,0.2469115886226046,964.4958628861968,9.0,Asia,0
74079.7034662269,0.15114126268405048,10715.855152453882,18.0,Asia,1
54196.55184501045,0.18404531618538025,21729.996302201092,16.0,Europa,1
137425.62270332806,0.19715204848746723,22916.116088767638,3.0,Europa,1
51813.67521323561,0.1869925395793786,11449.015468484082,55.0,Asia,0
114683.1181070902,0.2173487045560081,22026.507918243726,42.0,Asia,0
89376.99690458337,0.13665704659950836,14049.705692246876,57.0,Asia,0
73632.32064951844,0.17343935478001565,3959.3992832932418,11.0,Norteamerica,0
86258.2135186324,0.1413299126989946,7885.696525504448,34.0,Norteamerica,0
52196.291482734756,0.18660836109160672,11287.645322837277,43.0,Norteamerica,0
51466.14306825319,0.20341970750080474,11521.074709021426,1.0,LATAM,1
94039.4267785027,0.13001652918359233,15552.633513562272,55.0,LATAM,1
53688.1296555937,0.2819006747536101,,53.0,Asia,0
61734.756201380515,0.3160307666570167,9210.05223510643,31.0,Asia,1
128319.56017188818,0.22071397004877064,17921.792384230786,46.0,LATAM,1
138803.08097860502,0.18892992835572603,12536.691166404904,34.0,LATAM,1
118079.93834860963,0.13937196589006906,14229.483428212257,30.0,Norteamerica,0
111717.34427610262,0.17078214273068099,11433.053861452274,23.0,Norteamerica,0
77300.79969064698,0.1676932119199255,16031.133479102518,1.0,LATAM,0
87587.62847412098,0.23048697377251337,16379.71542772842,9.0,LATAM,0
62712.1742912062,0.1823296610271091,7231.706520127739,32.0,Europa,1
1000.0,0.23146090423854887,18725.72925541624,22.0,Asia,1
90738.76615361044,0.22197933432980582,8049.856503382451,37.0,Norteamerica,1
91504.55442944317,0.14975677995419312,14034.519391840051,48.0,Europa,0
114454.06335400493,0.09152085725379186,10153.384255284966,40.0,LATAM,0
48890.32005669691,0.1017554167141533,15944.943671875073,50.0,Europa,0
119263.25599790968,0.10968567892067801,13662.570431208307,37.0,Norteamerica,0
68623.65614124856,0.18133946494484468,15422.847693453507,43.0,Europa,1
47619.175850756554,0.26469358128699455,12833.242394343646,22.0,Asia,1
76986.39817915847,0.11954155903139965,11312.388740650664,6.0,LATAM,1
112566.63728069939,0.2282081207376996,,27.0,LATAM,0
84338.3433799464,0.17135001751987042,11915.76923570464,46.0,Asia,0
97896.8708871196,0.27049749266670664,7016.447530796923,16.0,Norteamerica,0
58209.71751513607,0.33852225210178977,2663.2358202761607,59.0,LATAM,1
98942.44449337572,0.2570866561634314,15163.462229805988,44.0,Asia,0
114123.57255370238,0.20717977983897368,19671.94898032576,57.0,Norteamerica,1
58075.39842987339,0.2188762205974436,6196.865484745194,38.0,Norteamerica,1
97203.30889820927,0.2746044764368839,15008.75514372862,51.0,LATAM,0
44280.535332313164,0.164301898955485,8325.274962595815,36.0,Norteamerica,0
91443.7780949897,0.13086906211512445,13068.684996067981,46.0,LATAM,0
39733.4730865346,0.19638791066071856,17245.947496541365,33.0,LATAM,1
96730.96971517117,0.2956333348622755,14138.369295124125,51.0,,1
84396.36100977659,0.13605327229478448,10546.021260586465,51.0,Asia,0
50941.097413089185,0.26170031439302066,340.3100347838408,8.0,Norteamerica,0
95404.86209920183,0.24533677266073622,10697.718118327086,26.0,Norteamerica,1
55048.63282320365,0.16951958354380386,11760.955538731565,27.0,Norteamerica,0
87159.6413646475,0.13018860418496003,19294.38017447119,56.0,Norteamerica,1
57243.51077953613,0.07193033222237018,7742.960534667971,18.0,Europa,0
100714.81708112347,0.10443190896399622,11279.639058627496,37.0,Norteamerica,0
67874.99614637648,0.19572658349760605,13044.130362636677,14.0,Asia,1
127617.91753138267,0.23498399902661277,19404.501296392096,58.0,LATAM,1
98333.07605921035,0.1404703550422331,4775.078797252446,39.0,Norteamerica,0
900000.0,0.21694709973682497,8937.993314607447,58.0,Norteamerica,1
68115.29987747426,0.08634342597981934,7731.230663468252,28.0,Europa,0
102665.04831245335,0.0336517335463275,26744.73509448912,28.0,Europa,0
86263.5430882736,0.1238218482520191,4125.992918886749,1.0,Norteamerica,0
37872.9844207883,0.306308379179968,3494.3896504154472,24.0,Norteamerica,0
